seq_id	song	seq_name	n_frames
0	12step	_1_2_step_l_12step.seq	16
1	12step	_1_2_step_r_12step.seq	16
2	12step	apple_picker_12step.seq	16
3	12step	around_the_clock_12step.seq	16
4	12step	finishing_move_12step.seq	14
5	12step	housing_12step.seq	16
6	12step	humpty_dance_12step.seq	16
7	12step	humpty_dance_wall_bang_12step.seq	16
8	12step	long_stretch_12step.seq	16
9	12step	peep_hole_12step.seq	16
10	12step	pumpkinhead_12step.seq	16
11	12step	secret_treasure_12step.seq	16
12	12step	shopping_spree_12step.seq	16
13	12step	skeevy_12step.seq	16
14	12step	slick_slide_and_pop_l_12step.seq	16
15	12step	slick_slide_and_pop_r_12step.seq	16
16	12step	slick_slide_l_12step.seq	16
17	12step	slick_slide_r_12step.seq	16
18	12step	slow_march_12step.seq	16
19	12step	slow_motion_12step.seq	16
20	12step	step_and_look_l_12step.seq	16
21	12step	step_and_look_r_12step.seq	16
22	12step	step_out_l_12step.seq	16
23	12step	step_out_r_12step.seq	16
24	12step	super_charge_12step.seq	16
25	12step	swing_both_12step.seq	16
26	12step	swing_step_12step.seq	16
27	12step	tell_it_12step.seq	16
28	12step	walk_and_snap_l_12step.seq	16
29	12step	walk_and_snap_r_12step.seq	16
30	12step	wave_snap_12step.seq	16
31	12step	whip_that_12step.seq	16
32	aint2proud2beg	back_up_bootay_aint2proud2beg.seq	16
33	aint2proud2beg	ball_change_wipe_aint2proud2beg.seq	16
34	aint2proud2beg	bball_aint2proud2beg.seq	16
35	aint2proud2beg	cat_claw_aint2proud2beg.seq	16
36	aint2proud2beg	chainsaw_aint2proud2beg.seq	16
37	aint2proud2beg	chest_pump_what_aint2proud2beg.seq	16
38	aint2proud2beg	face_off_aint2proud2beg.seq	16
39	aint2proud2beg	fan_it_l_aint2proud2beg.seq	16
40	aint2proud2beg	fan_it_r_aint2proud2beg.seq	16
41	aint2proud2beg	feel_about_punch_aint2proud2beg.seq	16
42	aint2proud2beg	finishing_move_aint2proud2beg.seq	14
43	aint2proud2beg	gimme_ten_aint2proud2beg.seq	16
44	aint2proud2beg	golly_gee_aint2proud2beg.seq	16
45	aint2proud2beg	head_sway_aint2proud2beg.seq	16
46	aint2proud2beg	hold_my_hamma_aint2proud2beg.seq	16
47	aint2proud2beg	hood_sq_aint2proud2beg.seq	16
48	aint2proud2beg	hoola_hoop_aint2proud2beg.seq	16
49	aint2proud2beg	hop_smack_down_aint2proud2beg.seq	16
50	aint2proud2beg	its_yours_aint2proud2beg.seq	16
51	aint2proud2beg	long_dk_aint2proud2beg.seq	16
52	aint2proud2beg	macarena_3_aint2proud2beg.seq	16
53	aint2proud2beg	macarena_4_aint2proud2beg.seq	16
54	aint2proud2beg	nah_walk_back_aint2proud2beg.seq	16
55	aint2proud2beg	noo_bang_aint2proud2beg.seq	16
56	aint2proud2beg	pagent_kisses_aint2proud2beg.seq	16
57	aint2proud2beg	pee_on_da_tree_aint2proud2beg.seq	16
58	aint2proud2beg	point_sit_aint2proud2beg.seq	16
59	aint2proud2beg	posey_aint2proud2beg.seq	16
60	aint2proud2beg	quicey_aint2proud2beg.seq	16
61	aint2proud2beg	rock_yo_shit_aint2proud2beg.seq	16
62	aint2proud2beg	rolling_thunder_aint2proud2beg.seq	16
63	aint2proud2beg	run_it_aint2proud2beg.seq	16
64	aint2proud2beg	say_it_wit_yo_chest_aint2proud2beg.seq	16
65	aint2proud2beg	shamang_it_aint2proud2beg.seq	16
66	aint2proud2beg	side_kick_out_r_aint2proud2beg.seq	16
67	aint2proud2beg	side_point_walk_aint2proud2beg.seq	16
68	aint2proud2beg	slam_out_aint2proud2beg.seq	16
69	aint2proud2beg	step_on_it_aint2proud2beg.seq	16
70	aint2proud2beg	swag_sway_aint2proud2beg.seq	16
